,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
89,Surface Laptop 4 Ryzen 5 / 8GB / 256 GB / 13.5 inches Nhập khẩu chính Hãng,24990000,MICROSOFT,8,13.5,2256x1504,INTEL,4.0,,5,1.27,WINDOW,256
90,Surface Pro 8 Core i5 / 8GB / 256GB Nhập Khẩu Chính Hãng,29990000,MICROSOFT,8,13.0,2880x1920,INTEL,51.5,,5,,WINDOW,256
91,Laptop Dell Inspiron I3501-5075BLK,14990000,DELL,12,15.6,1366x768,INTEL,,,,1.78,WINDOW,256
92,Laptop Dell Vostro 3510 V5I3305W,12690000,DELL,8,15.6,1920x1080,INTEL,45.0,3,,1.69,WINDOW,256
93,Laptop Lenovo Ideapad 1 11IGL05,7090000,LENOVO,4,11.6,1366x768,INTEL,32.0,2,4,1.2,WINDOW,256
94,Laptop Asus TUF Gaming F15 FX506HC-HN002T,24390000,ASUS,8,15.6,1920x1080,INTEL,48.0,3,5,2.3,WINDOW,512
95,Apple Studio Display 27 5K Chân đế cố định 2022 chính hãng,43990000,APPLE,,27.0,5120x2880,,,,,6.3,,
96,Laptop Gaming MSI Bravo 15 B5DD-264VN,18490000,MSI,8,15.6,1920x1080,INTEL,52.0,3,5,1.96,WINDOW,512
97,Laptop MSI GP66 Leopard 11UE-643VN,38790000,MSI,16,15.6,2560x1440,INTEL,65.0,4,5,2.38,WINDOW,512
98,Laptop Lenovo Legion 5 Pro LE16ITH6H 82JD00BCVN,39990000,LENOVO,16,16.0,2560x1600,INTEL,80.0,,5,2.3,WINDOW,512
99,Laptop Lenovo ThinkBook 14 G2 ITL 20VD00Y5VN,16790000,LENOVO,8,14.0,1920x1080,INTEL,45.0,,5,1.4,WINDOW,256
100,Laptop ASUS Gaming ROG Zephyrus G15 GA503QS-HQ052T,58790000,ASUS,32,15.6,2560x1440,INTEL,90.0,4,5,2.0,WINDOW,1024
101,Laptop Asus Zenbook 14X UM5401QA KN209W,23690000,ASUS,8,14.0,,INTEL,63.0,3,5,1.3,,512
102,Laptop ASUS Gaming ROG Strix G15 G513IH-HN015T,22290000,ASUS,8,15.6,1920x1080,INTEL,56.0,4,,2.3,WINDOW,512
103,Laptop Acer Travelmate TMB311-31-P49D N20H1_NX.VNFSV.005,4690000,ACER,4,11.6,1366x768,INTEL,48.0,3,5,1.4,WINDOW,256
104,Laptop Asus Zenbook UX425EA-KI883W,20090000,ASUS,8,14.0,1920x1080,INTEL,67.0,4,5,1.17,WINDOW,512
105,Laptop ASUS VivoBook S433EA,16290000,ASUS,8,14.0,1920x1080,INTEL,50.0,3,5,1.4,WINDOW,512
106,Laptop Lenovo Ideapad 5 PRO 14ACN6 82L700MAVN,19990000,LENOVO,16,14.0,2880x1800,INTEL,56.5,,5,1.38,WINDOW,512
107,Surface Pro 7 Plus Core i5 / 8GB / 128GB Nhập Khẩu Chính Hãng,21990000,MICROSOFT,8,12.3,2736x1824,INTEL,,4,5,,WINDOW,128
108,Laptop MSI Gaming Bravo 15 B5DD-275VN,16990000,MSI,8,15.6,1920x1080,INTEL,5.0,3,5,1.9,WINDOW,512
109,Laptop Dell Inspirion 15 3000 I3511 5101BLK,15990000,DELL,8,15.6,1920x1080,INTEL,,3,,,WINDOW,256
110,Surface Pro 7 Core i5 / 8GB / 256GB Nhập Khẩu Chính Hãng,23990000,MICROSOFT,8,12.3,2736x1824,INTEL,2.0,,5,,WINDOW,256
111,Laptop HP Gaming Victus 16-E0177AX 4R0U9PA,19990000,HP,8,16.1,1920x1080,INTEL,70.0,4,5,2.46,WINDOW,512
112,Laptop Lenovo Legion 5 15ACH6H 82JU00YWVN,28590000,LENOVO,8,15.6,1920x1080,INTEL,80.0,,5,2.4,WINDOW,512
113,Laptop Gaming Acer Nitro 5 AN515-45-R86D NH.QBCSV.005,31390000,ACER,8,15.6,1920x1080,INTEL,57.0,4,5,2.3,WINDOW,512
114,Laptop Acer Aspire 5 A514-54-5127 NX.A28SV.007,14990000,ACER,8,14.0,1920x1080,INTEL,48.0,,5,1.46,WINDOW,512
