Title,Price sale,Price origin,Màn hình,CPU,RAM,Ổ cứng,Đồ họa,Hệ điều hành,Trọng lượng,Kích thước,Xuất xứ,Năm ra mắt,urlre","AMD, Ryzen 5, 7520U","8 GB (1 thanh 8 GB), DDR4",SSD 256 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.36 kg,32.4 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt
"Laptop HP 15-fd0083TU i7 1355U/16GB/512GB/15.6""FHD/Win11 (No.00900039)",22.490.000₫,,"15.6 inch, 1920 x 1080 Pixels, SVA, 60 Hz, LCD","Intel, Core i7, 1355U",16 GB,SSD 512 GB,,Windows 11,1.59 kg,35.98 x 23.6 x 1.86 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd0083tu-i7-1355u
"Laptop Lenovo IdeaPad Slim 5 16IAH8 i5 12450H/16GB/512GB/16""WUXGA/Win11 (No.00884149)",15.490.000₫,17.490.000₫,"16 inch, 1920 x 1200 Pixels, IPS, 60 Hz, 300 nits, Anti - Glare","Intel, Core i5, 12450H","16 GB (2 thanh 8 GB), DDR5, 4800 MHz",SSD 512 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.89 kg,356 x 251 x 17.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-16iah8-i5-12450h
Laptop HP Pavilion 15-eg3112TU i7 1355U/16GB/512GB/15.6''FHD/Win11 (No.00900043),25.290.000₫,,"15.6 inch, FHD (1920 x 1080), IPS, Hãng không công bố Hz, LCD","Intel, Core i7, 1335U","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,,Windows 11 Home Single Language,1.68 kg,36.02 x 23.4 x 1.8 (W x D x H) cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg3112tu-i7-1355u
"Laptop Acer Gaming Aspire 5 A515-58GM-53CM i5 13420H/32GB/512GB/15.6""FHD/RTX2050 4GB/Win11 (No.00907314)",22.990.000₫,,"15.6 inch, FHD (1920 x 1080), IPS, 144, FHD","Intel, Core i5, 13420H","32 GB, DDR4",SSD 512 GB,NVIDIA GeForce RTX 2050; Intel UHD Graphics,Windows 11 Home,1.7 kg,361  x 237  x 17.9 mm,Trung Quốc,2024,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-aspire-5-a515-58g-53cm-i5-13420h
"Laptop Lenovo ThinkBook 14 G6 IRL i5-13500H/16GB/512GB/14""WUXGA/Win11 (No.00906632)",20.890.000₫,,"14 inch, 1920 x 1200 Pixels, IPS, 60, 300 nits, Anti-Glare LED-Backlit Display","Intel, Core i5, 13500H","16 GB (2 thanh 8 GB), DDR5, 5200 MHz",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.38 kg,313.5 x 224 x 16.9 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13500h
"Laptop MSI Gaming GF63 Thin 12UC-1006VN i5 12450H/16GB/512GB/15.6""FHD/Nvidia RTX 3050 4GB/Win11 (No.00904737)",19.990.000₫,,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS","Intel, Core i5, 12450H","16 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home Single Language,1.86 kg,359 x 254 x 21.7 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-12uc-1006vn-i5-12450h
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-alpha-15-b5eek-203vn-r5-5600h
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b12mo-628vn-i5-1235u
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/msi-summit-e14-evo-a12m-211vn-i7-1280p
Laptop MSI Gaming Raider GE77HX 12UHS-229VN i9 12900HX/64GB/2TB/17.3UHD/Nvidia RTX 3080Ti 16GB/Win11 (No.00882688),126.990.000₫,,"17.3 inch, 3840 x 2160 Pixels, IPS, 120 Hz, IPS","Intel, Core i9, 12900HX","64 GB, DDR5, 4800 MHz",SSD 2 TB,NVIDIA GeForce RTX 3080 Ti 16GB; Intel Iris Xe Graphics,Windows 11 Home,2.9 kg,397 x 284 x 25.9 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-raider-ge77hx-12uhs-229vn-i9-12900hx
